ticker,url_ri,pdfs_encontrados,pdfs_baixados,erros
PETR3,https://www.petrobras.com.br/ri,0,0,[]
PETR4,https://www.investidorpetrobras.com.br/,0,0,[]
POMO4,https://ri.marcopolo.com.br/,0,0,['página de resultados não encontrada']
PRIO3,https://ri.prio3.com.br,0,0,['página de resultados não encontrada']
PSSA3,https://ri.portoseguro.com.br,1,1,[]
RADL3,https://ri.rd.com.br,0,0,[]
RAIL3,https://ri.rumolog.com,0,0,[]
RAPT4,https://ri.randoncorp.com.br/,0,0,['página de resultados não encontrada']
RDOR3,https://ri.rededor.com.br,0,0,[]
RECV3,https://ri.reciva.com.br/,0,0,['página de resultados não encontrada']
RENT3,https://ri.localiza.com,0,0,[]
SANB11,https://ri.santander.com.br/,0,0,['página de resultados não encontrada']
SAPR11,https://ri.sanepar.com.br,0,0,['página de resultados não encontrada']
SAUD3,https://ri.sulamerica.com.br,0,0,[]
SBSP3,https://ri.sabesp.com.br,0,0,[]
SIMH3,https://ri.simpar.com.br,0,0,[]
SLCE3,https://ri.slcagricola.com.br,0,0,[]
SMFT3,https://www.smartfit.com.br/ri,0,0,[]
SMTO3,https://ri.saomartinho.com.br,0,0,[]
SUZB3,https://ri.suzano.com.br,0,0,[]
TAEE11,https://ri.taesa.com.br,8,8,[]
TEND3,https://ri.tenda.com,0,0,['página de resultados não encontrada']
TIMS3,https://ri.tim.com.br,0,0,[]
TOTS3,https://ri.totvs.com.br,0,0,[]
UGPA3,https://ri.ultra.com.br/,0,0,['página de resultados não encontrada']
USIM5,https://ri.usiminas.com,0,0,[]
VALE3,https://vale.com/pt/investidores,0,0,[]
VAMO3,https://ri.vamos.com.br/,0,0,['página de resultados não encontrada']
VBBR3,https://ri.vibraenergia.com.br/,0,0,[]
VIVA3,https://ri.vivara.com.br,0,0,[]
VIVT3,https://ri.telefonica.com.br,0,0,[]
WEGE3,https://ri.weg.net,0,0,[]
YDUQ3,https://ri.yduqs.com.br/,0,0,['página de resultados não encontrada']
